bin labels		-0.5Kb																																																	start																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				end																																																		0.5Kb
bins		1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0	101.0	102.0	103.0	104.0	105.0	106.0	107.0	108.0	109.0	110.0	111.0	112.0	113.0	114.0	115.0	116.0	117.0	118.0	119.0	120.0	121.0	122.0	123.0	124.0	125.0	126.0	127.0	128.0	129.0	130.0	131.0	132.0	133.0	134.0	135.0	136.0	137.0	138.0	139.0	140.0	141.0	142.0	143.0	144.0	145.0	146.0	147.0	148.0	149.0	150.0	151.0	152.0	153.0	154.0	155.0	156.0	157.0	158.0	159.0	160.0	161.0	162.0	163.0	164.0	165.0	166.0	167.0	168.0	169.0	170.0	171.0	172.0	173.0	174.0	175.0	176.0	177.0	178.0	179.0	180.0	181.0	182.0	183.0	184.0	185.0	186.0	187.0	188.0	189.0	190.0	191.0	192.0	193.0	194.0	195.0	196.0	197.0	198.0	199.0	200.0	201.0	202.0	203.0	204.0	205.0	206.0	207.0	208.0	209.0	210.0	211.0	212.0	213.0	214.0	215.0	216.0	217.0	218.0	219.0	220.0	221.0	222.0	223.0	224.0	225.0	226.0	227.0	228.0	229.0	230.0	231.0	232.0	233.0	234.0	235.0	236.0	237.0	238.0	239.0	240.0	241.0	242.0	243.0	244.0	245.0	246.0	247.0	248.0	249.0	250.0	251.0	252.0	253.0	254.0	255.0	256.0	257.0	258.0	259.0	260.0	261.0	262.0	263.0	264.0	265.0	266.0	267.0	268.0	269.0	270.0	271.0	272.0	273.0	274.0	275.0	276.0	277.0	278.0	279.0	280.0	281.0	282.0	283.0	284.0	285.0	286.0	287.0	288.0	289.0	290.0	291.0	292.0	293.0	294.0	295.0	296.0	297.0	298.0	299.0	300.0	301.0	302.0	303.0	304.0	305.0	306.0	307.0	308.0	309.0	310.0	311.0	312.0	313.0	314.0	315.0	316.0	317.0	318.0	319.0	320.0	321.0	322.0	323.0	324.0	325.0	326.0	327.0	328.0	329.0	330.0	331.0	332.0	333.0	334.0	335.0	336.0	337.0	338.0	339.0	340.0	341.0	342.0	343.0	344.0	345.0	346.0	347.0	348.0	349.0	350.0	351.0	352.0	353.0	354.0	355.0	356.0	357.0	358.0	359.0	360.0	361.0	362.0	363.0	364.0	365.0	366.0	367.0	368.0	369.0	370.0	371.0	372.0	373.0	374.0	375.0	376.0	377.0	378.0	379.0	380.0	381.0	382.0	383.0	384.0	385.0	386.0	387.0	388.0	389.0	390.0	391.0	392.0	393.0	394.0	395.0	396.0	397.0	398.0	399.0	400.0	401.0	402.0	403.0	404.0	405.0	406.0	407.0	408.0	409.0	410.0	411.0	412.0	413.0	414.0	415.0	416.0	417.0	418.0	419.0	420.0	421.0	422.0	423.0	424.0	425.0	426.0	427.0	428.0	429.0	430.0	431.0	432.0	433.0	434.0	435.0	436.0	437.0	438.0	439.0	440.0	441.0	442.0	443.0	444.0	445.0	446.0	447.0	448.0	449.0	450.0	451.0	452.0	453.0	454.0	455.0	456.0	457.0	458.0	459.0	460.0	461.0	462.0	463.0	464.0	465.0	466.0	467.0	468.0	469.0	470.0	471.0	472.0	473.0	474.0	475.0	476.0	477.0	478.0	479.0	480.0	481.0	482.0	483.0	484.0	485.0	486.0	487.0	488.0	489.0	490.0	491.0	492.0	493.0	494.0	495.0	496.0	497.0	498.0	499.0	500.0	501.0	502.0	503.0	504.0	505.0	506.0	507.0	508.0	509.0	510.0	511.0	512.0	513.0	514.0	515.0	516.0	517.0	518.0	519.0	520.0	521.0	522.0	523.0	524.0	525.0	526.0	527.0	528.0	529.0	530.0	531.0	532.0	533.0	534.0	535.0	536.0	537.0	538.0	539.0	540.0	541.0	542.0	543.0	544.0	545.0	546.0	547.0	548.0	549.0	550.0	551.0	552.0	553.0	554.0	555.0	556.0	557.0	558.0	559.0	560.0	561.0	562.0	563.0	564.0	565.0	566.0	567.0	568.0	569.0	570.0	571.0	572.0	573.0	574.0	575.0	576.0	577.0	578.0	579.0	580.0	581.0	582.0	583.0	584.0	585.0	586.0	587.0	588.0	589.0	590.0	591.0	592.0	593.0	594.0	595.0	596.0	597.0	598.0	599.0	600.0
s2.h3k27ac.chip.300bp	genes	-0.1085638144927536	-0.10824255942028976	-0.10897962028985499	-0.11161144862518085	-0.11304745007235883	-0.11219945875542688	-0.11238166280752532	-0.11204572254335254	-0.11392454046242771	-0.11642338961038963	-0.1171036594516595	-0.11696368253968259	-0.11670159077809804	-0.11865117435158505	-0.12089595821325654	-0.12389212536023059	-0.12616033141210375	-0.12853579538904905	-0.1326775115273776	-0.13604018587896263	-0.13989647262247837	-0.1422835706051874	-0.14443270461095098	-0.14865431700288181	-0.15014104172661866	-0.15299538417266184	-0.15614384892086336	-0.15963609064748194	-0.16374885323740998	-0.16619315539568336	-0.16876770647482012	-0.1703199309352517	-0.17457130647482005	-0.17927318561151068	-0.18294147413793105	-0.1884060488505745	-0.1914957658045974	-0.19261821264367798	-0.19437248706896532	-0.19746497270114938	-0.20062812212643663	-0.20532288505747112	-0.20963386063218367	-0.211015043103448	-0.21210998850574678	-0.21469083764367788	-0.2151829367816089	-0.21911474856321822	-0.22042354310344794	-0.2225266221264366	-0.2286058304597698	-0.23101906178160905	-0.2303152557471262	-0.228247521551724	-0.2258493649425286	-0.2266517514367814	-0.22418675395683413	-0.2160598661870501	-0.21518814841498538	-0.2089775835734869	-0.20691518731988456	-0.20991124927953872	-0.21186580115273787	-0.20700812536023053	-0.20123080863309348	-0.2025871381294961	-0.20537791786743484	-0.20770478386167127	-0.20758485014409184	-0.20950328386167105	-0.20608090489913497	-0.19762752737752146	-0.1970686195965417	-0.19857340345821314	-0.2003404098124096	-0.19810676767676733	-0.2013370808080805	-0.19987384704184688	-0.19459872727272703	-0.19711281240981227	-0.19676819624819603	-0.19601314574314554	-0.19885364739884376	-0.1963632358900145	-0.1971410955137481	-0.19528995513748187	-0.19791927930535458	-0.20079994057971023	-0.19922384760522505	-0.19865363860667642	-0.1996371814223514	-0.1984021918604654	-0.19908300726744219	-0.20267071656976762	-0.20668031295487646	-0.20242692721979616	-0.20130252983988364	-0.19796204949053867	-0.19594860495626834	-0.19712138192419829	-0.20254424963503648	-0.20783251824817525	-0.21079701749271154	-0.20667462827988342	-0.20555711953352765	-0.2063581793002916	-0.2051304541484716	-0.202051655021834	-0.20364978893740904	-0.19905610334788937	-0.19736756768558958	-0.19794748034934503	-0.1977097499999999	-0.2010382616279068	-0.20704482122093035	-0.20537885610465118	-0.21040434352256188	-0.210449403202329	-0.20763693886462875	-0.20421503639010166	-0.20147318486171742	-0.20018324308588048	-0.2060299401459852	-0.20612921751824811	-0.20711298394160574	-0.2048591769005847	-0.20348033625731	-0.2071178696925328	-0.20810025622254733	-0.20582947723935346	-0.20942464852941173	-0.2114178029411763	-0.2108691794117647	-0.21001233970588226	-0.20611223088235303	-0.20402650589970484	-0.20538384365781698	-0.2068245657311668	-0.20445617899408267	-0.2048439245562129	-0.21134729689807952	-0.20956727178729687	-0.20421427286135674	-0.20244658554572248	-0.20242917673048566	-0.2037864212076582	-0.20466699116347545	-0.2023059131075106	-0.19987489248895396	-0.19830665537555214	-0.20249002798232685	-0.2049248864306783	-0.20271591592920363	-0.20501885946745563	-0.205518194074074	-0.20250798219584565	-0.20287075851851835	-0.2012020192592591	-0.20331913757396441	-0.20467658259587013	-0.20584630780559643	-0.20947050294985248	-0.20620267304860068	-0.21035726362297494	-0.2141890088495573	-0.2178946553755522	-0.21629622861356912	-0.21781857522123885	-0.21905853539822998	-0.21919438109305753	-0.22165972566371675	-0.22460767404129767	-0.22215311078286548	-0.21898230576070898	-0.21567660207100575	-0.21506903834808244	-0.21331352732644	-0.21339044296296278	-0.21008173037037026	-0.20690450591715973	-0.20696279111111085	-0.20404813333333296	-0.20402345481481454	-0.20441054977711742	-0.20013481426448737	-0.2034270520059435	-0.20834641010401156	-0.20914198367952494	-0.21101675816023713	-0.20878535311572688	-0.20858790801186922	-0.20942294814814824	-0.21090695555555541	-0.21616749481481465	-0.215001362017804	-0.21368151780415423	-0.21267714074074068	-0.20961625854383367	-0.2086514575260804	-0.20646155803571445	-0.2020506815476192	-0.20039773174366632	-0.20027605216095376	-0.2049566304023843	-0.2095926607142856	-0.2069361624441134	-0.20787421874999984	-0.2089615949554897	-0.21144051851851847	-0.21371115430267057	-0.21530633531157287	-0.21574884888888896	-0.2176382411242604	-0.21475778254437866	-0.2138128431952662	-0.21649427769571633	-0.21969679437869832	-0.22153769423929123	-0.2241427212389383	-0.22041563810930584	-0.21767845494830154	-0.2128947669616521	-0.20317971281296027	-0.20210799410898386	-0.20522060766961664	-0.20773533038348097	-0.20247791272189358	-0.20339670058997067	-0.19862860856720863	-0.1978327728613573	-0.197717561946903	-0.2006495943952806	-0.20035253755522847	-0.20155281029411787	-0.2092851191176474	-0.21010230294117682	-0.21277769603524255	-0.21556004405286353	-0.21743824375917764	-0.22112457415565343	-0.21697357331378303	-0.21887404985337233	-0.21842900587371505	-0.21396251688693102	-0.21185545521292223	-0.21285350515463908	-0.21610154344624413	-0.21604948159057405	-0.21378361323529346	-0.2190885029411762	-0.219502105882353	-0.2159833298969071	-0.21426246097201762	-0.21961406194690253	-0.2188814536082473	-0.22095830338733427	-0.22366730338733445	-0.21929341237113412	-0.2136548898678416	-0.2108098352941179	-0.2030140911764707	-0.203943136764706	-0.20257529852941172	-0.2019547199413491	-0.20828460614934136	-0.2168901522694	-0.21723673645680838	-0.21136754904831642	-0.21684302196193275	-0.2129082390029327	-0.21161808504398844	-0.20967584457478017	-0.21108154985337263	-0.21601247584187433	-0.22163278445747825	-0.22464241703377422	-0.228242535190616	-0.22815291202346058	-0.2272688929618768	-0.22776488872620795	-0.22673243191800882	-0.22610603070175436	-0.22514506734992726	-0.2279856524926687	-0.2288819941348974	-0.22604005865102653	-0.22282127126099732	-0.22220745321637408	-0.22269144298245622	-0.22220744525547437	-0.22200549051094906	-0.21783848905109487	-0.2143092686131387	-0.21537852408759117	-0.21569791703056765	-0.21790028093158628	-0.21617554730713207	-0.21181337063953487	-0.21582262499999952	-0.21468321220930192	-0.21429872634643346	-0.21587648326055278	-0.21731422125181937	-0.21825509024745263	-0.21728861863173227	-0.21495322819767437	-0.22226639042089988	-0.22424285341074	-0.22371368459302285	-0.21879696366279047	-0.21994300145560375	-0.2186832605531293	-0.22286651673944663	-0.2259417532846713	-0.2298076715328464	-0.22491921897810221	-0.2221689503649635	-0.22159421897810205	-0.21568897372262774	-0.2123591941605836	-0.21164758102189754	-0.20892650072780147	-0.21704993877551002	-0.21518177113702597	-0.21247828862973736	-0.21132147084548097	-0.20608342627737233	-0.20534531678832124	-0.21159678978102203	-0.21299219270072972	-0.2164758070175438	-0.2181331883211678	-0.21816848905109482	-0.21414754306569347	-0.20793401459853997	-0.210198024817518	-0.20805055555555518	-0.20810892543859622	-0.20683022043795593	-0.2134453226277371	-0.21764064181286544	-0.2196534291970802	-0.22252162280701734	-0.22772789635036492	-0.22991112809315867	-0.23056633187772932	-0.22936469432314405	-0.22710280640465783	-0.2238859708454809	-0.22445291386861285	-0.22194570656934276	-0.21904656496350342	-0.21598893567251434	-0.2186975043859647	-0.2200579269005847	-0.22217515643274852	-0.2219464809941519	-0.2199594364963501	-0.2181292934306565	-0.22010655994152006	-0.21799742752562198	-0.21446337335285479	-0.21415918859649105	-0.21063011403508747	-0.20434464868804658	-0.2012611311953355	-0.20319605102040825	-0.20286867445255477	-0.2061251184210527	-0.2071619312865496	-0.20993603649635037	-0.209282595620438	-0.2115248201754388	-0.2106598786549705	-0.2137140657894736	-0.21260951900584762	-0.2118017441520466	-0.21101859562043765	-0.2130171822157431	-0.21006078862973732	-0.2113683061224486	-0.2120847927007297	-0.21595778070175412	-0.21560612426900544	-0.2130110321637424	-0.21664159941520433	-0.21476744298245568	-0.21512892836257283	-0.21928120760233893	-0.22059117690058447	-0.22033251169590592	-0.21887529446064086	-0.22004336151603457	-0.2167542008733622	-0.2172850832116785	-0.21513447521865864	-0.21419156559766747	-0.2135752959183672	-0.2170199548104954	-0.21886121574344	-0.21627548979591824	-0.2196914460641398	-0.21942109461426482	-0.2109397988338192	-0.20710051457725945	-0.2080766443148687	-0.20787415743440246	-0.20896337956204367	-0.212431521167883	-0.21757464868804655	-0.2191306516034985	-0.21549075364431472	-0.21248761516034956	-0.21903274160583944	-0.21795108467153293	-0.21533332554744497	-0.21564095175438586	-0.21648274122807035	-0.21534312005856537	-0.21399873167155434	-0.21428696632503652	-0.2115503582966224	-0.21374233773861948	-0.21616956617647035	-0.21565833235294082	-0.2150472114537443	-0.2151114126284875	-0.2124932741935482	-0.21280591055718456	-0.215418365102639	-0.21773033870967706	-0.22350602635431874	-0.2271240673499266	-0.22728809530791788	-0.22821917155425184	-0.22278159911894252	-0.22025271071952987	-0.2159059222873897	-0.2103476217008795	-0.205952092240117	-0.20278227818448039	-0.2023504780701754	-0.2053275774853801	-0.20696663982430458	-0.211039887262079	-0.21487634017595306	-0.21817491629955948	-0.2191306866764275	-0.21619478916544654	-0.21502570906432744	-0.212220817251462	-0.21242905693430647	-0.2123869049707601	-0.21299541288433374	-0.2098948521229869	-0.20549824233576647	-0.20590460787172046	-0.20376852906976764	-0.21005898401162781	-0.21483756477438148	-0.2141268938953487	-0.21648132703488332	-0.2129275232558138	-0.2116839390420899	-0.20803173730043545	-0.2087993628447026	-0.2080400899854864	-0.20712331250000038	-0.21040063715529753	-0.21198621884057978	-0.21515469811320753	-0.2163369345930234	-0.21501760087082722	-0.21619901162790675	-0.216306860465116	-0.21303475000000002	-0.2115627499999999	-0.20538952539912922	-0.20102859941944817	-0.19633444557329435	-0.19582256231884043	-0.19407566086956526	-0.1937290840579711	-0.19406819593613958	-0.19336536231884072	-0.1956316492753624	-0.19698322753623218	-0.19247846956521772	-0.19173192173913065	-0.19495169030390758	-0.19921456936416182	-0.19687889435600583	-0.1964610753623188	-0.19542958925979678	-0.1928271741654574	-0.19379217681159425	-0.19444523478260878	-0.18931457101449303	-0.183319302898551	-0.17857737916063693	-0.17932432272069476	-0.18225366280752536	-0.18308142753623197	-0.17755790434782615	-0.17965366376811578	-0.17999878840579703	-0.1839181579710144	-0.18692821594202902	-0.18225214637681167	-0.18634755346820825	-0.1834723367052025	-0.1811065867052024	-0.1798018871201159	-0.18114102753623204	-0.1770918697539799	-0.17920740086830703	-0.1772072550724639	-0.17641504782608702	-0.17707684782608712	-0.18139915774240237	-0.179269587554269	-0.17543690000000003	-0.17500085362318832	-0.16644003913043462	-0.1600344327062226	-0.1582967658959536	-0.16090760404624269	-0.1588051040462425	-0.15524168497109803	-0.15924533574529653	-0.1567764529667146	-0.1534662966714904	-0.14903901736613584	-0.14169361884057957	-0.14040968451519528	-0.13906971820809239	-0.1402255997109827	-0.13513192207792216	-0.13388435497835513	-0.12978962536023061	-0.12936373054755057	-0.13041826801152767	-0.12569868542568563	-0.11729003030303044	-0.11376055043227686	-0.10782792074927984	-0.0990712204610953	-0.09017222222222236	-0.08539966522366525	-0.07652557369942199	-0.06860252023121385	-0.06800117485549131	-0.06725868162083934	-0.06380984081041964	-0.05974926300578032	-0.05849068497109821	-0.058953583815028805	-0.05942716618497099	-0.061556225433525916	-0.062492106936416124	-0.05954508959537565	-0.060947675832127256	-0.06098636468885662	-0.06161786647314944	-0.06409097097242374	-0.0673173459302325	-0.06757685319767436	-0.06724048691860458	-0.06779510174418597	-0.07048633720930231	-0.07260111191860463	-0.07476586297376091	-0.07598069825072883	-0.07550739212827988	-0.07698460495626822	-0.0780897565597668	-0.07898845626822162	-0.08081199708454817	-0.08065467346938786	-0.08183851678832121	-0.08113560000000006	-0.08098378717201174	-0.08172690524781352	-0.08113101749271148	-0.08202387463556862	-0.08357987900874643	-0.08192033090379015	-0.08116798250728868	-0.0807309285714286	-0.08008406122448986	-0.07908109329446072	-0.07956891982507297	-0.0805245298398836	-0.08030367248908302	-0.07946740379008752	-0.08007419241982511	-0.08242091228070177	-0.08192711859443634	-0.08101177452415811	-0.08105010834553442
